source_id,ra,dec,phot_g_mean_mag,redshift
4983819134759096064,20.192179,-43.030677,17.4,1.87
4983819134759096064,20.192179,-43.030677,17.4,1.87
4984163659855475712,20.198538,-41.739059,20.1,2.54
4984163659855475712,20.198538,-41.739059,20.1,2.54
4983890976675338880,20.200085,-42.542861,19.6,1.96
4984086792824245376,20.370483,-42.339518,19.0,2.23
4984086792824245376,20.370483,-42.339518,19.0,2.23
4983817343756576896,20.407955,-42.970288,19.4,2.14
4983817343756576896,20.407955,-42.970288,19.4,2.14
4914127071268511744,20.426289,-54.559390,17.3,0.07
4914430433398867712,20.549762,-54.079194,19.3,0.50
4983896646032280064,20.567523,-42.365645,19.9,2.23
4983896646032280064,20.567523,-42.365645,19.9,2.23
4984191933624168448,20.608261,-41.560983,19.0,2.11
4984194613683826560,20.699647,-41.429719,19.5,1.80
4984194613683826560,20.699647,-41.429719,19.5,1.80
4914058450575214592,20.770694,-54.884830,18.6,2.30
4915268772358893952,20.889411,-53.163551,19.2,1.94
4984224163058309248,20.962979,-41.575250,19.6,1.95
4984224163058309248,20.962979,-41.575250,19.6,1.95
4935692411298030848,21.005893,-43.677776,18.9,2.32
4983936645064433536,21.084847,-41.818528,19.6,2.29
4983936645064433536,21.084847,-41.818528,19.6,2.29
4914137173031575936,21.129423,-54.856354,19.2,1.80
4935776828880751744,21.238113,-43.101839,19.6,3.08
4935783013633671808,21.362560,-43.048325,18.1,0.49
4935513598925020544,21.415444,-43.670098,20.2,1.92
4935512125752218368,21.445466,-43.772142,19.6,2.30
4914258974008009856,21.496746,-53.996975,17.9,0.68
4935785728053117312,21.520639,-42.875979,18.9,0.59
4935491574332611200,21.528603,-43.984538,18.6,1.80
4916805992693372928,21.588305,-52.734061,19.0,1.68
4914457508872607488,21.671441,-53.689297,19.4,2.70
4914142838091961216,21.736357,-54.719303,18.9,1.66
4935878984677259904,21.797033,-42.752392,18.5,1.54
4916833312982527744,21.907270,-52.256043,19.4,1.84
4915979679640362752,21.953279,-53.241817,19.4,0.98
4914186646758532352,22.002324,-54.336739,18.7,1.84
4935541086715167488,22.080590,-43.916184,19.1,0.71
4914197848033354880,22.120755,-54.120734,19.3,0.73
4914179916546041344,22.198677,-54.357136,15.8,0.09
4935549436131636864,22.323238,-43.769678,19.4,2.15
4917246759417871104,22.482291,-50.909936,19.5,2.39
4935532462422073984,22.516611,-43.919450,19.5,0.91
4935867680323670272,22.543024,-42.504358,19.8,1.79
4935629082005424640,22.575740,-43.344773,17.7,1.59
4935582558919661184,22.707635,-43.359097,18.2,2.53
5035500029554477184,22.718006,-28.043018,18.4,1.77
4935559851427580800,22.759259,-43.681672,19.6,0.54
4935656707235406976,22.768541,-42.875349,20.2,1.56
4916020460354884480,22.808419,-52.724035,18.6,0.84
4917235970459979520,22.815580,-51.045784,18.9,1.92
4916851278829443840,22.818904,-52.070003,19.2,0.92
4959890184029718400,22.822742,-42.245783,19.7,2.46
4935579775780860544,22.829790,-43.349872,19.0,2.00
5035249886363923072,22.893732,-28.643249,19.0,1.86
4935640798676500992,22.938824,-43.004436,19.0,2.44
4959682518066639744,23.010272,-42.562800,19.6,2.24
5023052836372751488,23.012277,-29.500279,18.9,2.34
4916077841120217856,23.083037,-52.421799,19.2,0.70
4917360283993227136,23.147380,-50.004777,18.5,0.92
4929828058657177600,23.152652,-49.144710,19.1,1.64
4930038207113827968,23.163480,-48.687490,18.1,0.62
5035876303049559680,23.208973,-27.695004,19.4,2.33
4958837195487641600,23.324711,-43.466870,19.5,2.61
5023037026598680320,23.370777,-29.725967,18.5,2.88
4929857504953555200,23.401086,-48.631798,19.6,0.83
5035208929555031168,23.529830,-28.664506,19.1,1.66
5022971090260611456,23.640926,-29.970677,18.6,2.23
4929787582885827200,23.705842,-48.970817,19.4,0.59
4915898143981272448,23.707504,-52.893573,19.0,0.83
4917063553292201728,23.808402,-50.871834,18.7,0.39
4930079503222328064,23.812814,-48.241442,19.5,2.32
5022752940281171712,23.876125,-30.439185,19.8,1.72
4917677767975409408,24.043945,-49.940491,19.3,0.78
4930081255569009664,24.045434,-48.136075,19.5,2.46
4916211053824277248,24.095568,-51.758486,19.9,0.46
4929795245107167360,24.175152,-49.028801,19.1,1.72
5023559603858798336,24.196237,-28.789410,19.8,2.32
5023555961726500096,24.271867,-28.861546,19.8,1.80
5023130416367483520,24.296275,-29.084369,19.5,1.91
4930207634984144512,24.346753,-47.490810,19.1,2.33
4930304254568475520,24.366291,-46.931317,19.6,0.82
5022860623701361792,24.407544,-30.100109,19.4,2.66
5022690336837749760,24.407887,-30.657711,19.6,1.53
4916595711094827264,24.501566,-51.518761,18.6,1.86
4931081604992438528,24.529870,-46.478566,19.1,2.07
5023503941082895232,24.544710,-29.004613,18.7,0.91
4917394952968843136,24.566024,-50.775921,19.5,2.07
4930187912494331264,24.589515,-47.700856,19.7,0.75
4917770882866743808,24.641425,-49.232774,19.3,2.23
5023491090540428416,24.656150,-29.080244,19.4,0.91
5022899278407353728,24.686975,-29.691418,19.2,0.68
5022899488861104512,24.691444,-29.665291,17.9,2.16
4930284768300043008,24.692991,-47.093292,19.0,0.73
4930283501286511744,24.747250,-47.146921,19.6,2.50
4930022569136529152,24.771429,-47.727957,17.6,1.75
5023526859028913536,24.899084,-28.736183,18.7,1.90
